SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	MVS-40	Solibacterales	Sva0725	Actinomycetales	Coriobacteriales	Bacteroidales	Flavobacteriales	Saprospirales	Caldilineales	WCHB1-50	SM1D11	YS2	Deferribacterales	Bacillales	Lactobacillales	Turicibacterales	Clostridiales	Erysipelotrichales	RF32	Rhizobiales	Burkholderiales	Desulfovibrionales	Myxococcales	Spirobacillales	Thermodesulfobacteriales	Campylobacterales	Alteromonadales	Enterobacteriales	Legionellales	Pasteurellales	Thiotrichales	Xanthomonadales	CW040	Anaeroplasmatales	RF39	ML615J-28	Verrucomicrobiales	Arctic97B-4	Ucn15732
48DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.000607545717815	2.02515239272e-05	6.07545717815e-05	0.000607545717815	0.000870815528869	0.39273780352	0.0103890317746	0.000850564004941	0.000121509143563	0.000222766763199	4.05030478544e-05	0.00589319346281	0.035602179064	0.000303772858908	0.0206565544057	0.0	0.403147086818	0.00289596792159	0.000425282002471	0.000364527430689	0.000121509143563	0.00911318576723	0.000972073148504	8.10060957087e-05	6.07545717815e-05	0.000202515239272	0.000587294193888	0.00133660057919	0.00093157010065	0.000243018287126	0.00180238562952	0.000850564004941	0.0257801899593	0.0175378197209	0.00172137953381	0.000607545717815	0.0593167135827	0.00014176066749	0.000101257619636
48SM.DN	DN	Normal	Normal	12	DN_12S	0.00027112294193	0.000123237700877	0.000123237700877	0.000813368825791	0.00253869663808	0.360174504584	0.00771468007493	0.000517598343685	0.000123237700877	9.8590160702e-05	0.000123237700877	0.00549640145913	0.00436261461106	2.46475401755e-05	0.0209750566893	0.00076407374544	0.545524006704	0.00396825396825	0.000838016365967	0.000369713102632	0.000640836044563	0.0128413684314	0.0013063196293	0.000147885241053	9.8590160702e-05	4.9295080351e-05	0.000690131124914	0.0013063196293	0.00142955733018	0.000345065562457	0.00108449176772	7.39426205265e-05	0.0164399092971	0.00438726215124	0.00123237700877	0.000147885241053	0.00049295080351	0.0	0.000197180321404
49DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000111139925166	0.0	1.8523320861e-05	0.000314896454636	0.00479754010299	0.359445041307	0.00679805875597	0.000370466417219	0.000111139925166	9.26166043048e-05	1.8523320861e-05	0.000500129663246	0.00107435260994	0.000629792909273	0.101229948505	0.0	0.341329233505	0.116437594932	0.000555699625829	0.000407513058941	0.000166709887749	0.00309339458378	0.000815026117882	0.000148186566888	5.55699625829e-05	1.8523320861e-05	0.000129663246027	0.000370466417219	0.000259326492053	0.000148186566888	0.000314896454636	0.0	0.0570333049309	0.0	0.00164857555663	1.8523320861e-05	0.0	0.0	7.40932834439e-05
50DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.000279346329589	9.97665462817e-05	5.9859927769e-05	0.000738272442485	0.00159626474051	0.458866252968	0.0107747869984	0.000977712153561	0.000139673164794	5.9859927769e-05	3.99066185127e-05	0.00554701997326	0.00802123032105	7.98132370254e-05	0.0146457289942	0.0	0.372209030868	0.00271365005886	0.00037911287587	0.000359159566614	0.000518786040665	0.00448949458268	0.0010974320091	3.99066185127e-05	7.98132370254e-05	0.000119719855538	0.000518786040665	0.000957758844304	0.000638505896203	0.000199533092563	0.00119719855538	0.000259393020332	0.0143863359738	0.0066244986731	0.000917852225792	0.000119719855538	0.0877147474909	0.000139673164794	0.000179579783307
50SM.DN	DN	Normal	Normal	12	DN_12S	8.46632519155e-05	8.46632519155e-05	8.46632519155e-05	0.000740803454261	0.00234940524066	0.45622909876	0.0113872073826	0.0011006222749	0.000105829064894	0.000232823942768	8.46632519155e-05	0.0094187867756	2.11658129789e-05	0.000126994877873	0.0136307835584	0.000253989755747	0.459848452779	0.00294204800406	0.00279388731321	0.000338653007662	0.00334419845066	0.00833933031368	0.00118528552682	6.34974389366e-05	6.34974389366e-05	0.00019049231681	0.000423316259578	0.000994793210007	0.00148160690852	0.000211658129789	0.00105829064894	0.0	0.0102442534818	0.00567243787834	0.00173559666427	0.000211658129789	0.000338653007662	0.0	0.000148160690852
50i	Inicial	Normal	Normal	0	Inicial	0.000197600057484	0.000215563699073	8.98182079471e-05	0.00061076381404	0.00294603722067	0.304681324998	0.00434720126464	0.00030538190702	0.000125745491126	5.38909247683e-05	0.0	5.38909247683e-05	7.18545663577e-05	0.00061076381404	0.011245239635	0.0	0.402511317094	0.0059459653661	0.0116404397499	0.00032334554861	0.000143709132715	0.00957462096716	0.000520945606093	7.18545663577e-05	5.38909247683e-05	8.98182079471e-05	0.000269454623841	0.000520945606093	0.00204785514119	0.000215563699073	0.000700582021987	0.000125745491126	0.0106524394625	0.0466156499246	0.000467054681325	0.000772436588345	0.179241215779	0.000341309190199	0.000143709132715
51DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.000738934456514	4.92622971009e-05	4.92622971009e-05	0.000862090199266	0.00236459026084	0.387866696224	0.00901500036947	0.000492622971009	0.000123155742752	9.85245942018e-05	0.000221680336954	0.0134732382571	0.0335229931772	0.000172418039853	0.002684795192	0.0	0.477154609719	0.0078573363876	4.92622971009e-05	0.000443360673908	0.000295573782605	0.0233256976773	0.00123155742752	7.38934456514e-05	9.85245942018e-05	0.000123155742752	0.000566516416661	0.00150250006158	0.00108377053622	0.000344836079706	0.00145323776448	0.000270942634055	0.0156654104781	0.00802975442745	0.00423655755068	0.000270942634055	0.00174881154708	4.92622971009e-05	0.000123155742752
51SM.DN	DN	Normal	Normal	12	DN_12S	0.000274516428752	0.000126699890193	0.00019004983529	0.000717966044429	0.00295633077118	0.475525804544	0.0117197398429	0.000739082692795	6.33499450967e-05	0.00019004983529	0.000295633077118	0.0241574457302	4.22332967311e-05	8.44665934623e-05	0.0401005152462	0.00240729791368	0.391333727511	0.010452740941	0.000274516428752	0.000401216318946	0.00979812484163	0.003927696596	0.000844665934623	0.000211166483656	0.000126699890193	0.000105583241828	0.000464566264043	0.000844665934623	0.00101359912155	0.000211166483656	0.000971365824816	6.33499450967e-05	0.0096291916547	0.000147816538559	0.000675732747698	2.11166483656e-05	0.00587042824563	0.0	0.000358983022215
54DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000298953662182	1.86846038864e-05	1.86846038864e-05	0.000616591928251	0.000504484304933	0.391087443946	0.00807174887892	0.00072869955157	5.60538116592e-05	0.000130792227205	7.47384155456e-05	0.00213004484305	0.0278400597907	0.000186846038864	0.0333707025411	0.0	0.453176382661	0.000112107623318	0.000691330343797	0.000298953662182	1.86846038864e-05	0.0517189835575	0.00156950672646	3.73692077728e-05	7.47384155456e-05	3.73692077728e-05	0.000112107623318	0.00108370702541	0.000691330343797	9.3423019432e-05	0.000635276532138	1.86846038864e-05	0.0213004484305	7.47384155456e-05	0.000224215246637	0.0	0.0	0.0	3.73692077728e-05
59DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000111275964392	3.70919881306e-05	0.0	0.000408011869436	0.00178041543027	0.329043026706	0.00684347181009	0.000426557863501	5.56379821958e-05	0.000111275964392	3.70919881306e-05	0.00205860534125	0.00999629080119	0.00129821958457	0.253171364985	0.0	0.3396884273	0.00389465875371	0.00183605341246	7.41839762611e-05	0.0	0.0161164688427	0.000723293768546	0.000333827893175	3.70919881306e-05	3.70919881306e-05	3.70919881306e-05	0.000723293768546	0.000278189910979	9.27299703264e-05	0.000500741839763	0.0	0.0272440652819	0.000593471810089	0.00031528189911	0.0	0.0	0.0	0.000111275964392
