SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	Actinobaculum	Varibaculum	Brevibacterium	Nocardia	Adlercreutzia	5-7N15	Bacteroides	Candidatus Azobacteroides	Paludibacter	Parabacteroides	Prevotella	AF12	Blvii28	PW3	Rikenella	Butyricimonas	Odoribacter	CF231	Paraprevotella	Prevotella	Fluviicola	Flavobacterium	Psychroflexus	Caldilinea	Mucispirillum	Cohnella	Staphylococcus	Enterococcus	Lactobacillus	Lactococcus	Turicibacter	Alkaliphilus	Candidatus Arthromitus	Clostridiisalibacter	Clostridium	SMB53	Dehalobacterium	Pseudoramibacter_Eubacterium	Lutispora	Anaerostipes	Blautia	Butyrivibrio	Coprococcus	Dorea	Lachnobacterium	Moryella	Roseburia	Syntrophococcus	Ruminococcus	Oscillospira	Ruminococcus	Syntrophomonas	Fusibacter	Mogibacterium	Tepidimicrobium	WAL_1855D	Allobaculum	Coprobacillus	Sutterella	Bilophila	Desulfovibrio	Sulfurimonas	Haemophilus	Anaeroplasma	Akkermansia
3DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000104721	3.49E-05	0.000122175	6.98E-05	0.000802862	0	0.100584693	1.75E-05	0.002216598	0.003525613	0.000645781	0.022776857	0.000680688	0.000122175	0.000226896	0.000401431	0.041103063	0.000191989	0.000942491	0	3.49E-05	0.006108735	6.98E-05	0.000104721	0.078889955	0.000314164	0	0.001343922	0.060738284	0.008377694	0	0.002251505	1.75E-05	0.000645781	0	0.023719347	0.001134479	3.49E-05	0.001239201	0	0.00029671	0.000244349	0.007888996	0.001256654	0.000139628	0.000541059	0.000226896	3.49E-05	0.013177415	0.051086482	0.023474998	5.24E-05	0.003420892	0.000104721	0.000767955	0.000122175	0.002042063	0	0	0.017017192	0.013229776	6.98E-05	6.98E-05	0	0
45DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	2.12E-05	4.24E-05	6.36E-05	6.36E-05	0.001590432	6.36E-05	0.038149161	4.24E-05	0.001102699	0.004940942	0.008630744	0.001738872	0.000424115	4.24E-05	0	8.48E-05	0.035031915	0.000233263	0.001463197	2.12E-05	0.000593761	0.005704349	4.24E-05	6.36E-05	0.002120576	0.000530144	0.000233263	0.000508938	0.214920372	0	0	0	0.002162987	0	0	0	0.001229934	2.12E-05	0.000424115	0.002035753	0.000296881	0.000742202	0.004283563	0.003286893	4.24E-05	0.000360498	0.000127235	2.12E-05	0.011684373	0.024535064	0.013635303	4.24E-05	0.000508938	0.000127235	0.000614967	0.000254469	0.000169646	0.001060288	0.000911848	0.000996671	0.002141782	2.12E-05	8.48E-05	0.009839472	0.001717667
46DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000119332	0.000119332	7.96E-05	7.96E-05	0.00260541	0	0.056563246	0	0.001770088	0.002525855	0.000596659	0.011575179	0.00057677	0.000159109	9.94E-05	0.000357995	0.048786794	0.000119332	0.000497216	0	0	0.005708035	0	9.94E-05	0.002486078	0.000835322	0	0.003301512	0.180747812	0.026809865	0	0.005708035	0	0.001610979	0	0.056026253	0.000636436	0	0.001551313	0	1.99E-05	0.000178998	0.003599841	0.001233095	0.000278441	3.98E-05	0.000397772	1.99E-05	0.011058075	0.029594272	0.008412888	1.99E-05	0.006523469	0	0.000795545	9.94E-05	0.079295943	0	0	0.000934765	0.003301512	5.97E-05	1.99E-05	0	0
48DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.000162012	4.05E-05	0.000222767	0.000141761	0.000810061	0.000324024	0.006743757	2.03E-05	0.000162012	0.004070556	0.052977987	0.003199741	0.000465785	0.000141761	8.10E-05	2.03E-05	0.046456996	0.000445534	0.001620122	0.000243018	0.00052654	0.007412058	8.10E-05	0.000121509	0.035602179	0.000141761	0	0.000162012	0.020494542	0	0	0	0.000182264	2.03E-05	4.05E-05	4.05E-05	0.001620122	6.08E-05	0.000283521	6.08E-05	0.000708803	0.000951822	0.00970048	0.000587294	0.000141761	0.00040503	0.000243018	0.000202515	0.019036432	0.029708986	0.015208894	8.10E-05	0.001296098	0.000101258	0.000850564	8.10E-05	0.000911319	0.001437858	0.000121509	0.003098483	0.004617347	0.000202515	0.000243018	0.01753782	0.056643512
48SM.DN	DN	Normal	Normal	12	DN_12S	0.000246475	0.000123238	0.000320418	4.93E-05	0.002292221	0.000566893	0.010425909	7.39E-05	0.00019718	0.004929508	0.032189687	0.001059844	0.000911959	2.46E-05	2.46E-05	7.39E-05	0.035147392	0.00019718	0.001010549	0.00019718	0.000123238	0.006359065	9.86E-05	0.000123238	0.004362615	0	0	7.39E-05	0.020901114	0	0.000764074	0	0.000147885	0	0.002982352	0	0.002538697	0.00019718	0.0015035	0.001257025	0.001109139	0.001528147	0.012644188	0.004165434	0.000172533	0.001133787	0.000147885	0.000147885	0.028665089	0.045006408	0.018115942	0.000172533	0.00130632	7.39E-05	0.001133787	0.001232377	0.002587992	0.000394361	0.000640836	0.005742877	0.004337967	4.93E-05	0.000345066	0.004387262	0.000492951
49DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000148187	1.85E-05	3.70E-05	5.56E-05	0.004427074	0	0.039343534	3.70E-05	0.001055829	0.002908161	0.00044456	0.016615419	0.00066684	0.000148187	0.000203757	0.00027785	0.048883044	0.000129663	0.000815026	0	0	0.005334716	5.56E-05	0.00011114	0.001074353	0.000574223	5.56E-05	0.002982255	0.073018931	0.025228763	0	0.006223836	1.85E-05	0.002593265	3.70E-05	0.07898344	0.000648316	0.000129663	0.00072241	0	0.00033342	0.000148187	0.003056348	0.001426296	5.56E-05	1.85E-05	0.00016671	3.70E-05	0.007538992	0.038324751	0.004501167	7.41E-05	0.008817101	0.00011114	0.000759456	5.56E-05	0.116104175	0	0.00016671	0.001129923	0.001426296	1.85E-05	0.000148187	0	0
50DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.00011972	3.99E-05	0.000379113	9.98E-05	0.001456592	0.000498833	0.008300577	3.99E-05	9.98E-05	0.004110382	0.072470419	0.003950755	0.000618553	3.99E-05	9.98E-05	3.99E-05	0.050501826	0.000419019	0.002294631	0.00035916	0.000219486	0.00790151	0.00011972	0.000139673	0.00802123	2.00E-05	0	9.98E-05	0.014545962	0	0	0	0.000857992	0	0	0	0.001955424	3.99E-05	0.000399066	0.004090428	0.000698366	5.99E-05	0.007322864	0.001935471	9.98E-05	0.000319253	2.00E-05	0.00011972	0.017598819	0.034160065	0.013288904	5.99E-05	0.000917852	0	0.000838039	0.000319253	0.000698366	0.000478879	0.000518786	0.000638506	0.00271365	0.00011972	0.000199533	0.006624499	0.084302732
50i	Inicial	Normal	Normal	0	Inicial	0.000107782	7.19E-05	0.000107782	7.19E-05	0.002748437	0.000718546	0.004526838	0.000269455	0	0.000305382	0.007185457	0	0.0003952	0.000143709	0	0	0.009790185	8.98E-05	0.001365237	0	7.19E-05	0.003197528	7.19E-05	0.000125745	7.19E-05	5.39E-05	7.19E-05	3.59E-05	0.011173385	3.59E-05	0	0	7.19E-05	0	0.002478983	5.39E-05	0.002874183	3.59E-05	0.000431127	0.000880218	0.000718546	0.000143709	0.015628368	0.003592728	3.59E-05	0.000449091	8.98E-05	5.39E-05	0.02644248	0.02974779	0.014442768	3.59E-05	0.001005964	1.80E-05	0.000754473	0.000844291	0.0011856	0.003197528	0.000143709	0.007508802	0.000610764	8.98E-05	0.000215564	0.04661565	0.171840195
50SM.DN	DN	Normal	Normal	12	DN_12S	0.000211658	8.47E-05	0.000105829	0.000190492	0.002307074	0.000719638	0.01693265	0.000148161	0.000380985	0.009969098	0.047199763	0.001269949	0.001227617	6.35E-05	8.47E-05	8.47E-05	0.029780299	6.35E-05	0.001354612	0.000423316	0.000211658	0.009037802	6.35E-05	0.000105829	2.12E-05	6.35E-05	0	0.000148161	0.013461457	2.12E-05	0.00025399	2.12E-05	0.00025399	0	0.00050798	4.23E-05	0.002095415	0.000126995	0.001396944	0.003047877	0.001185286	0.001777928	0.011366042	0.005524277	0.000105829	0.001291115	0.000317487	0.000275156	0.026880582	0.041738983	0.015810862	0.000105829	0.001502773	4.23E-05	0.001269949	0.001227617	0.001608602	0.000380985	0.003344198	0.003619354	0.003047877	0.000190492	0.000211658	0.005672438	0.000296321
51DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	4.93E-05	7.39E-05	0.000246311	0.000123156	0.002241435	0.000591148	0.00536959	0	9.85E-05	0.001330082	0.054311683	0.000960615	0.00064041	9.85E-05	0	0	0.026847952	7.39E-05	0.001182295	0.000295574	0.000197049	0.006773566	9.85E-05	0.000123156	0.033522993	4.93E-05	0	2.46E-05	0.002660164	0	0	0	0.000270943	0	0.000197049	0	0.002832582	0.000295574	0.000492623	0.00064041	0.00086209	9.85E-05	0.009877091	0.000763566	2.46E-05	0.000492623	0.000172418	0	0.023030124	0.041700534	0.014557009	0.000172418	0.001083771	0	0.000985246	0.000172418	0.006404099	0.000812828	0.000295574	0.001354713	0.020222173	0.000123156	0.000344836	0.008029754	0.001650287
