SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	k__Bacteria;p__	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deferribacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__[Caldithrix]
33i	Inicial	Normal	Normal	0	Inicial	0.000500023810658	0.000452402495357	0.00203581122911	0.316550788133	3.57159864755e-05	0.000214295918853	0.00215486451736	0.0146911757703	0.498714224487	0.000285727891804	0.0198223724939	0.000250011905329	0.0205843135387	0.00336920805753	0.120220010477	0.000119053288252
34DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000714105062707	0.00058021036345	0.001383578559	0.386211821414	0.000252912209709	0.000386806908966	0.000386806908966	0.0455539521252	0.522591011203	0.000223157832096	0.0205305205528	0.000282666587322	0.0206792924409	0.000193403454483	2.97543776128e-05	0.0
38DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000756178531907	0.00036886757654	0.00260051641461	0.408742161564	0.00018443378827	0.000571744743637	0.0090188122464	0.00245296938399	0.506399852453	0.000147547030616	0.0139985245297	7.3773515308e-05	0.0368683142752	0.013648100332	0.00403909996311	0.000129103651789
39DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000890207715134	0.000261825798569	0.00167568511084	0.422028277186	6.98202129516e-05	0.000314190958282	0.00164077500436	0.00755803805202	0.523162855647	0.000471286437424	0.0185547215919	0.000192005585617	0.0226217489963	0.000558561703613	0.0	0.0
39DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.00120514714458	0.00103020643004	0.00136065000194	0.324476149749	0.000194378571706	0.000252692143218	0.00233254286048	0.0420829607744	0.562045640089	0.000369319286242	0.0428021614897	0.000680325000972	0.0208568207441	0.000194378571706	5.83135715119e-05	5.83135715119e-05
45DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000424115189686	0.000212057594843	0.00199334139152	0.414254511525	0.000233263354327	0.000360497911233	0.00746442733847	0.00212057594843	0.510359013508	0.000190851835358	0.0142714761329	6.36172784528e-05	0.0348622685921	0.0113662870836	0.00182369531565	0.0
46DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000755767700875	0.000377883850438	0.00334128878282	0.338166268894	0.000119331742243	0.000298329355609	0.000676213206046	0.0024860779634	0.597334924423	0.000417661097852	0.00833333333333	5.96658711217e-05	0.0473747016706	0.00021877486078	0.0	3.97772474145e-05
48DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.00111383381599	0.000688551813524	0.00147836124668	0.404098908443	8.10060957087e-05	0.000486036574252	0.00593369651066	0.035602179064	0.427003382004	0.00028352133498	0.0178415925798	0.000121509143563	0.0258409445311	0.0198667449726	0.0594584742502	0.000101257619636
48SM.DN	DN	Normal	Normal	12	DN_12S	0.000961254066844	0.000517598343685	0.00335206546387	0.368456078083	0.000172532781228	0.00027112294193	0.00561963916001	0.00436261461106	0.571256038647	0.000295770482106	0.0214187124125	0.000394360642808	0.0164645568372	0.00576752440106	0.00049295080351	0.000197180321404
49DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000815026117882	0.000129663246027	0.00511243655763	0.366632089801	0.000129663246027	0.000333419775497	0.000518652984107	0.00107435260994	0.559626569851	0.000203756529471	0.00648316230134	7.40932834439e-05	0.0571259215352	0.00166709887749	0.0	7.40932834439e-05
50DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.00121715186464	0.000438972803639	0.00233453718299	0.470658658739	0.000119719855538	0.000259393020332	0.00558692659178	0.00802123032105	0.389648223158	0.000279346329589	0.0113135263483	3.99066185127e-05	0.0143863359738	0.00766207075443	0.0878544206557	0.000179579783307
50SM.DN	DN	Normal	Normal	12	DN_12S	0.0015027727215	0.000253989755747	0.00309020869492	0.468822757482	0.000275155568725	0.000423316259578	0.00950345002752	2.11658129789e-05	0.476802268975	0.00019049231681	0.0205731702155	0.000148160690852	0.0102865851077	0.0076196926724	0.000338653007662	0.000148160690852
50i	Inicial	Normal	Normal	0	Inicial	0.000538909247683	0.000502981964504	0.00355680103471	0.309585399152	0.0	0.000251490982252	5.38909247683e-05	7.18545663577e-05	0.420313285909	5.38909247683e-05	0.026514334986	0.00030538190702	0.0106704031041	0.0478551411942	0.179582524969	0.000143709132715
51DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.000714303307963	0.000837459050716	0.00322668046011	0.397423581862	2.46311485505e-05	0.000246311485505	0.0136949185941	0.0335229931772	0.487869159339	0.000689672159413	0.0314786078475	7.38934456514e-05	0.0157393039237	0.0125372546122	0.00179807384418	0.000123155742752
51SM.DN	DN	Normal	Normal	12	DN_12S	0.00147816538559	0.000591266154236	0.00367429681561	0.488026860377	0.000253399780387	0.000401216318946	0.0244530788073	4.22332967311e-05	0.444378748205	0.000527916209139	0.0193850831996	8.44665934623e-05	0.0096291916547	0.000844665934623	0.00587042824563	0.000358983022215
54DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.00125186846039	0.000336322869955	0.00112107623318	0.400018684604	0.000130792227205	0.000186846038864	0.00220478325859	0.0278400597907	0.486846038864	0.000635276532138	0.0572122571001	0.000541853512706	0.0213378176383	0.000298953662182	0.0	3.73692077728e-05
59DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000704747774481	0.000148367952522	0.0021884272997	0.336479970326	0.000111275964392	0.000408011869436	0.00209569732938	0.00999629080119	0.598052670623	0.000574925816024	0.0208642433234	7.41839762611e-05	0.02728115727	0.000908753709199	0.0	0.000111275964392
59DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000524806248856	9.76383718801e-05	0.00261182644779	0.453786538109	1.2204796485e-05	0.000280710319155	0.00158662354305	0.000671263806676	0.493745041801	0.00031732470861	0.0090437541954	2.440959297e-05	0.0360407640203	0.00112284127662	8.54335753951e-05	4.88191859401e-05
59i	Inicial	Normal	Normal	0	Inicial	0.000484246372057	0.000328037864942	0.0028429948295	0.311261071278	0.0	0.000265554462096	0.000218691909961	0.0	0.451708140025	0.000171829357827	0.0188543668088	7.81042535576e-05	0.00457690925848	0.0224940250246	0.186684786853	3.12417014231e-05
