SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	ACK-M1	Actinomycetaceae	Brevibacteriaceae	Nocardiaceae	Coriobacteriaceae	Bacteroidaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	S24-7	Odoribacteraceae	Paraprevotellaceae	Cryomorphaceae	Flavobacteriaceae	Chitinophagaceae	Caldilineaceae	Deferribacteraceae	Paenibacillaceae	Staphylococcaceae	Enterococcaceae	Lactobacillaceae	Streptococcaceae	Turicibacteraceae	Christensenellaceae	Clostridiaceae	Dehalobacteriaceae	Eubacteriaceae	Gracilibacteraceae	Lachnospiraceae	Peptococcaceae	Peptostreptococcaceae	Ruminococcaceae	Syntrophomonadaceae	Veillonellaceae	Acidaminobacteraceae	Mogibacteriaceae	Tissierellaceae	Erysipelotrichaceae	Beijerinckiaceae	Alcaligenaceae	Desulfovibrionaceae	Thermodesulfobacteriaceae	Helicobacteraceae	Alteromonadaceae	OM60	Enterobacteriaceae	Coxiellaceae	Legionellaceae	Pasteurellaceae	Piscirickettsiaceae	Sinobacteraceae	F16	Anaeroplasmataceae	Verrucomicrobiaceae
13i	Inicial	Normal	Normal	0	Inicial	0.0	0.000178081703886	0.000160273533497	8.90408519429e-05	0.0056095736724	0.0263382840047	0.000712326815543	0.0192862485308	0.0466930227588	0.254460946682	0.00569861452434	0.000730134985932	7.12326815543e-05	0.0054493001389	0.000480820600492	3.56163407771e-05	0.00174520069808	8.90408519429e-05	0.0	5.34245111657e-05	0.0207643266731	0.0	0.0	0.00128218826798	0.000409587918937	0.00217259678741	1.78081703886e-05	0.00151369448303	0.144602343555	0.00012465719272	0.000178081703886	0.0829860740108	3.56163407771e-05	0.000142465363109	0.0010862983937	0.00149588631264	0.00279588275101	0.0117355842861	0.000195889874274	0.00487943868647	0.00893970153506	0.000106849022331	0.000142465363109	0.000160273533497	0.000267122555829	0.000641094133989	0.000160273533497	0.000409587918937	0.000142465363109	0.000908216689817	5.34245111657e-05	0.0125547601239	0.000979449371372	0.179951561777
20DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	1.45904461758e-05	0.000379351600572	0.000131314015583	0.00017508535411	0.000962969447606	0.141571099244	0.00668242434854	0.000744112754968	0.0526423298024	0.089862557997	0.0348419854679	0.000335580262044	0.000131314015583	0.0060988065015	0.000277218477341	2.91808923517e-05	0.0278677521959	0.0	7.29522308792e-05	0.00118182614024	0.00401237269836	0.00765998424232	0.0	0.00256791852695	0.000248037584989	0.00351629752838	1.45904461758e-05	0.000627389185561	0.0867839738539	0.000700341416441	2.91808923517e-05	0.185108990633	7.29522308792e-05	0.0	0.000510665616155	0.000452303831451	0.000758703201144	0.000277218477341	0.000306399369693	7.29522308792e-05	0.0467915608859	5.83617847034e-05	5.83617847034e-05	0.000160494907934	2.91808923517e-05	0.000875426770551	0.000160494907934	0.000744112754968	0.000116723569407	0.000919198109078	1.45904461758e-05	0.0134815722665	0.0	0.0
21DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000182245630661	0.000200470193727	0.000109347378397	9.11228153305e-05	0.00167665980208	0.0942209910517	0.0119188642452	0.0490058500847	0.0688888483899	0.184031637841	0.0377248455468	0.00211404931567	0.000218694756793	0.0100599588125	0.000911228153305	9.11228153305e-05	0.00663374095606	7.28982522644e-05	0.0031710739735	0.000473838639719	0.0313097993476	3.64491261322e-05	0.0	0.00154908786062	0.000164021067595	0.00162198611288	0.000145796504529	0.000765431648776	0.0675220061599	0.000200470193727	1.82245630661e-05	0.0792768493375	3.64491261322e-05	0.0	0.000564961455049	0.000674308833446	0.0010752492209	0.00450146707733	0.000218694756793	0.000546736891983	0.00601410581181	0.0	0.000127571941463	0.000127571941463	0.000218694756793	0.000765431648776	0.00041916495052	0.000164021067595	5.46736891983e-05	0.000619635144247	1.82245630661e-05	0.011317453664	0.0274461919775	0.0467460042645
26DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.0	0.000188799814105	4.35691878703e-05	5.80922504938e-05	0.00258510514697	0.0532851167654	0.00522830254444	0.000580922504938	0.0811693970024	0.155876031137	0.0557104682235	0.00121993726037	0.00037759962821	0.00653537818055	0.000479261066574	0.000116184500988	0.00747937725107	0.000450214941327	1.45230626234e-05	0.00318055071453	0.0958086441269	0.0238032996398	0.0	0.00264319739747	0.05912338794	0.000508307191821	0.000174276751481	0.00182990589055	0.0419280817939	0.00196061345417	0.0013651678866	0.124956430812	1.45230626234e-05	0.000145230626234	0.00672417799466	0.00344196584176	0.000914952945277	0.00397931915882	0.000232369001975	2.90461252469e-05	0.00739223887533	0.000101661438364	5.80922504938e-05	7.26153131172e-05	7.26153131172e-05	0.000522830254444	0.000159753688858	0.000174276751481	5.80922504938e-05	0.00046473800395	0.0	0.0636545834786	0.0	0.0
26DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.0	0.000194484421798	0.000181518793678	0.000168553165558	0.00194484421798	0.12068406654	0.00573080762898	0.000635315777873	0.0456130797256	0.143672125196	0.0330753173337	0.00102428462147	0.000194484421798	0.00623646712565	0.000531590752914	3.88968843596e-05	0.0199281704202	0.000116690653079	3.88968843596e-05	0.00115394090267	0.0186834701207	0.0130304562605	0.0	0.00289133507073	0.00643095154745	0.00146511597754	0.0	0.00165960039934	0.0714924734529	0.00142621909318	0.000220415678038	0.154485459048	2.59312562397e-05	0.0	0.0015688410025	0.00110207839019	0.00101131899335	0.000142621909318	0.000285243818637	1.29656281199e-05	0.0465984674628	0.000103725024959	5.18625124794e-05	0.000155587537438	0.000103725024959	0.00110207839019	0.000233381306157	0.000363037587356	0.000155587537438	0.00089462834027	0.0	0.00925745847758	0.0	2.59312562397e-05
27DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	4.03518682915e-05	0.000100879670729	6.05278024373e-05	2.01759341458e-05	0.00187636187555	0.163203131305	0.00805019772415	0.000746509563393	0.116616899362	0.139556936486	0.0439431845694	0.00102897264143	0.000464046485352	0.010108143007	0.00100879670729	6.05278024373e-05	0.00121055604875	0.000161407473166	0.0	0.00447905738036	0.024231296909	0.0411589056573	0.0	0.00153337099508	0.000121055604875	0.00455976111694	2.01759341458e-05	0.00288515858284	0.044165119845	0.00100879670729	4.03518682915e-05	0.0624041643128	4.03518682915e-05	0.0	0.000564926156081	0.000363166814624	0.000867565168267	0.0190259058994	0.000242111209749	0.0	0.00397465902671	0.00014123153902	2.01759341458e-05	2.01759341458e-05	2.01759341458e-05	0.000363166814624	0.000181583407312	0.000322814946332	4.03518682915e-05	0.000403518682915	0.0	0.0315349850698	0.0	2.01759341458e-05
27DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.0	0.000254414488905	0.000111306338896	8.74549805611e-05	0.000818896636163	0.131516389858	0.0131261975369	0.000771193919494	0.0295359320713	0.0731123637491	0.0264432059406	0.000723491202824	0.000190810866679	0.00646371810875	0.000246464036127	0.000103355886118	0.062967586004	0.000135157697231	3.97522638914e-05	0.00176500051678	0.0253937461738	0.0150820089204	0.0	0.0026713521335	0.000405473091693	0.00181270323345	0.0	0.000874549805611	0.0651380596125	0.000747342561159	3.18018111131e-05	0.172771289325	7.95045277829e-06	7.95045277829e-06	0.000755293013937	0.000755293013937	0.000731441655602	0.000373671280579	0.00027826584724	0.0	0.0280094451379	0.000143108150009	9.54054333394e-05	0.000143108150009	3.18018111131e-05	0.00111306338896	0.000262364941683	0.000707590297267	0.000127207244453	0.000977905691729	0.0	0.0141359050398	0.0	3.18018111131e-05
31i	Inicial	Normal	Normal	0	Inicial	6.59239237919e-05	0.000153822488848	0.000175797130112	8.78985650559e-05	0.00435097897027	0.00490034500187	0.00481244643681	0.0677478190169	0.0399718724592	0.22530599688	0.00501021820819	0.00140637704089	0.000241721053904	0.00544971103347	0.00032961961896	0.00010987320632	0.00637264596655	0.0	0.0	8.78985650559e-05	0.0062847474015	0.0	0.0	0.00147230096469	0.00127452919331	0.0016480980948	6.59239237919e-05	0.000615289955391	0.0906893444965	0.000131847847584	0.000263695695168	0.0846243435076	0.000131847847584	0.0	0.000900960291823	0.000944909574351	0.00142835168216	0.0095809435911	0.000351594260224	0.000813061726767	0.0095809435911	4.3949282528e-05	0.000131847847584	0.000131847847584	0.000197771771376	0.000659239237919	0.000835036368031	0.000395543542752	0.00010987320632	0.000900960291823	0.000131847847584	0.0304129035094	0.0104599292417	0.21227503461
33DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	7.65814060346e-05	0.000229744218104	0.000153162812069	0.000153162812069	0.00112957573901	0.00968754786338	0.0104725072752	0.0557512635932	0.0496630418134	0.20292158064	0.033159748813	0.00151248276918	0.000248889569612	0.00627967529484	0.000268034921121	0.000153162812069	0.011027722469	1.91453515087e-05	0.000134017460561	5.7436054526e-05	0.0053032623679	0.0	0.0	0.00107213968448	0.00317812835044	0.00118701179354	0.000191453515087	0.000153162812069	0.0959756471129	0.000363761678664	1.91453515087e-05	0.054162199418	5.7436054526e-05	0.0	0.000650941951294	0.000631796599786	0.000536069842242	0.00444172155001	0.000153162812069	0.00189538979936	0.00513095420432	3.82907030173e-05	7.65814060346e-05	0.000172308163578	0.000153162812069	0.000631796599786	0.000804104763363	0.000325470975647	0.000191453515087	0.000516924490734	1.91453515087e-05	0.0207344156839	0.0171159442487	0.190745137081
33SM.DN	DN	Normal	Normal	12	DN_12S	9.91080277502e-05	0.00013875123885	0.000317145688801	9.91080277502e-05	0.00267591674926	0.00408325074331	0.00602576808722	0.0230723488603	0.0284836471754	0.256273538157	0.0167096134787	0.000891972249752	0.0001189296333	0.00521308225966	0.000436075322101	0.0001189296333	0.0010703666997	0.000257680872151	0.00017839444995	0.000535183349851	0.146263627354	0.0	0.00356788899901	0.001189296333	0.0205550049554	0.000753221010902	1.982160555e-05	0.000654112983152	0.084360753221	0.0001585728444	0.00017839444995	0.0482259663033	0.0001189296333	0.0	0.00116947472745	0.000911793855302	0.0014271555996	0.00432111000991	0.000317145688801	0.00410307234886	0.00279484638256	5.94648166501e-05	0.00013875123885	0.0001585728444	0.0001585728444	0.000911793855302	0.000535183349851	0.000733399405352	0.0001585728444	0.000991080277502	3.96432111001e-05	0.0206739345887	0.0126461843409	0.105510406343
