sample	group	pc1_0.481176791339	pc2_0.0749116292045	pc3_0.0550764354284	pc4_0.0480926799438	pc5_0.0374722255351	pc6_0.0303870576715	pc7_0.02736340159	pc8_0.0261323289018	pc9_0.0240798427292	pc10_0.0216154641977	pc11_0.0200033329899	pc12_0.0176371692304	pc13_0.016411577629	pc14_0.0147310772329	pc15_0.0136680423534	pc16_0.0119361972234	pc17_0.0100952842266	pc18_0.00929745580647	pc19_0.00796121175749	pc2_0.00723796656549	pc21_0.00712727152891	pc22_0.00637359532473	pc23_0.00617898532916	pc24_0.00481519205564	pc25_0.00424136414713	pc26_0.00357959594948	pc27_0.0034388644791	pc28_0.00306876760635	pc29_0.00263857776504	pc30_0.00145527163809	pc31_0.00131092676217	pc32_0.000453951046833	pc33_0.000030464811413	pc34_0	pc35_0	pc36_0	pc37_0	pc38_0	pc39_0
3DAG.AN	DAG_AN	-0.175525584	0.054197372	0.019192108	-0.007160606	0.023231811	0.015255592	0.026776587	0.033175718	-0.003953817	-0.041637257	3.65E-05	-0.050488717	-0.024563919	-0.000740131	-0.033232973	0.016142048	-0.018661058	-3.58E-05	-0.004577184	-0.030142444	0.022860161	0.013166721	-0.0241077	0.011296883	0.012199398	-0.006261602	0.019472204	0.018894068	0.002049068	-0.002227736	0.001634274	0.007081703	0.001468469	0	0	0	0	0	0
45DN.AE	DN_AE	0.121399424	-0.020357799	0.053142509	-0.005947913	-0.037393301	-0.012662835	0.029140562	-0.044058733	-0.004500855	0.014347826	-0.017811536	-0.054366696	0.022972596	0.032428649	0.024752674	0.00043173	-0.002603667	0.009275727	-0.001907908	-0.005029913	-0.013221638	0.016492272	0.005908651	-0.006137342	0.02050476	-0.003312677	0.003341745	0.008160553	0.002622927	-0.019302111	-0.002628815	-0.007429352	-0.00316198	0	0	0	0	0	0
46DAG.AN	DAG_AN	-0.191977827	0.096890111	0.039734417	0.022037579	0.070771302	0.052539493	0.045750396	-0.039167978	-0.018128023	-0.001707682	0.029262866	-0.001253732	0.006086892	-0.012982928	-0.025687039	-0.03067376	0.027946432	0.031925128	0.018488797	0.028002181	0.032698346	-0.011537333	0.022764363	0.01073342	0.006453023	0.00513669	0.008044324	-0.009864971	-0.013429431	0.002006657	-0.006282541	-0.001692515	-0.00058225	0	0	0	0	0	0
48DN.AN	DN_AN	0.148015609	-0.017907854	0.034186108	-0.013672541	-0.001673411	-0.003541884	0.014751726	0.001679209	0.008032642	-0.011870261	0.012469341	-0.012936015	0.016024926	-0.037138273	0.005317526	-0.012802322	0.020054664	0.028139252	-0.021548851	-0.005396562	-0.0298306	-2.21E-02	-0.003125167	-0.007475782	-0.007609247	-0.017977498	-0.020349104	0.009191324	-0.004257732	0.012226528	-0.011199351	-0.008706407	0.003200375	0	0	0	0	0	0
48SM.DN	DN	0.114949141	-0.011919089	0.007628069	0.003138676	0.052561549	-0.023501542	-0.022708014	0.010313304	-0.020356312	-0.000129836	0.011880477	0.010704355	-0.040521245	0.016921372	-0.01839092	0.024300034	-0.02996602	-1.74E-05	0.008973334	-0.01040623	-0.029829656	-0.011021707	0.013135858	0.010774945	0.005162147	0.044902174	-0.010727511	0.003799188	0.014372368	-0.003794887	-0.008375905	-0.002034737	0.000926886	0	0	0	0	0	0
49DAG.AN	DAG_AN	-0.168091357	0.115678336	0.048302882	0.033832971	0.022546982	0.042090088	-0.031861463	0.006525581	0.011736282	-0.00062821	-0.013067064	0.025007076	0.069643799	0.011103087	-0.010646453	0.016564987	-0.02836614	-0.016793589	0.006403725	-0.012858009	0.003146287	0.00944833	0.029813804	0.004493555	-0.016058958	0.001931824	0.000194486	0.008317196	0.017467582	0.006922755	0.009495574	-6.33E-03	0.000657037	0	0	0	0	0	0
50DN.AN	DN_AN	0.177584854	0.021295954	-0.023403767	-0.076232625	-0.00019855	0.031897049	-0.004293957	-0.014175831	-0.012382801	-0.000426942	0.007087322	-0.019179265	0.041977215	-0.028769334	-0.019045513	0.01929137	-0.024607805	0.021637706	-0.029669469	0.036784183	0.007143924	0.002313905	-0.031226227	0.00026049	-0.006172342	0.021770268	-0.012808069	0.002726905	-0.01431919	-0.004815738	0.00479771	0.005596067	-8.80E-05	0	0	0	0	0	0
50i	Inicial	0.161643825	0.040744803	-0.040424378	0.064676417	0.002831943	0.023068983	0.007156246	0.005265492	0.071062576	-0.022612582	-0.035957697	-0.000758376	-0.031718922	0.045087728	-0.022484816	-0.021218265	0.029576566	0.006618487	-0.041480193	-0.010120144	-0.001648449	-0.004502303	0.015439481	0.011173649	-0.018453162	0.005001872	-0.000170273	-0.018698839	0.000915464	-0.00012012	-0.007759185	0.000252968	-0.0012095	0	0	0	0	0	0
50SM.DN	DN	0.134408832	-0.021110581	0.00988433	-0.010875009	0.039203224	0.003083324	0.024103491	0.010852634	-0.017286291	-0.002621862	0.017669475	-0.006690718	-0.03308632	-0.023555706	-0.013733843	0.041106304	-0.006300913	-0.011716416	0.017232935	-0.004882573	0.004222392	-0.014295161	-0.008741103	0.027801695	-0.015971707	-0.017193577	0.005640885	-0.005089608	-0.017802313	-0.01530348	0.004377684	-0.012819578	-0.000274466	0	0	0	0	0	0
51DN.AN	DN_AN	0.14657412	-0.005902244	0.042248973	-0.027827897	-0.009516173	0.001040471	0.001349954	0.030717285	0.001571312	0.00775638	-0.028342984	0.013301477	0.00649076	-0.032379983	-0.02250895	-0.007739479	-0.025587602	0.007529189	-0.03977927	0.004848991	-0.010851893	-0.011310639	0.040337931	-0.026739622	-0.006582455	-0.014183898	0.018142817	-0.007906679	-0.002576957	-0.010996279	0.015379346	0.005316142	0.000191467	0	0	0	0	0	0
51SM.DN	DN	0.12566484	0.001933114	0.009394915	0.007093993	0.024168709	0.009726268	-0.006410035	-0.014609604	0.007162805	0.029269569	0.014338555	-0.013524201	-0.022622294	-0.005275352	-0.020917574	0.044786396	0.00497665	0.008838971	0.036847715	0.000133794	0.005896409	0.012369116	0.012920496	-0.010873047	-0.026870424	-0.029252459	-0.029262868	0.00027484	0.015333868	-0.003608013	-0.008824501	0.011512318	-9.92E-04	0	0	0	0	0	0
54DAG.AN	DAG_AN	-0.150551916	0.036729374	0.020765591	0.002097844	-0.014950634	-0.11389336	-0.02949288	0.042233543	-0.061262709	0.008465585	-0.012971791	-0.037674309	0.017675039	-0.014111573	-0.017799418	-0.028774875	-0.007892307	0.041534966	0.025467586	-0.010084901	-0.002086536	-0.012962941	0.001697221	-0.009825497	0.006330326	0.004200073	-0.007141477	-0.022702554	0.003242152	0.004002012	-0.000352664	0.000875176	-9.26E-04	0	0	0	0	0	0
59DAG.AN	DAG_AN	-0.188485374	0.115711705	0.030008292	-0.016364314	0.015266107	-0.044791607	0.047266363	0.050657183	-0.056324907	0.03834924	-0.034042843	0.020713523	-0.031610957	0.022863578	0.017108413	-0.028411967	0.012722164	-0.020214255	-0.030367248	-0.002240372	-0.011944339	-0.0049952	-0.012795543	0.007260434	-0.015129381	-0.007099308	-0.011804455	0.024848776	-0.00304398	-0.005713546	-0.001609282	0.001413352	-0.000450222	0	0	0	0	0	0
59DAG.SM	DAG	-0.137935538	0.142687168	-0.005771925	0.004550444	-0.028087891	-0.030887612	0.014560668	-0.026910948	0.102044173	-0.012374801	-0.001813952	0.030870186	-0.01421664	-0.027550801	0.048781868	0.007045113	-0.010317266	-0.007830008	0.017707791	0.008687003	-0.006708874	-0.009992717	-0.000299379	-0.009316538	0.025383788	0.00171943	-0.015024583	-0.000398977	-0.010253966	-0.012808268	-0.003066531	0.004081528	0.000973183	0	0	0	0	0	0
59i	Inicial	0.17750901	0.039810503	-0.128942362	0.02238096	0.054837598	0.056265348	0.017934942	0.003591309	-0.05290559	-0.05398644	0.002066767	-0.001554114	0.011697935	0.021468401	0.023430114	-0.020076978	-0.006974829	0.002630265	0.001617434	-0.006281942	-0.015162976	-0.014379816	-0.015024992	-0.007264713	0.004913561	0.003271476	0.001035345	-0.012855416	0.009928729	-0.007348338	-0.000486436	0.004280417	0.00022803	0	0	0	0	0	0
7DAG.AE	DAG_AE	-0.141243479	-0.038657277	-0.013825326	0.005324103	-0.077000342	-0.007090931	-0.023421786	0.000632039	-0.015871518	-0.092911717	0.018357606	0.003716839	-0.032036049	-0.002321218	0.059101013	-0.001703682	0.003752681	0.044447101	0.013663053	0.016252804	-0.002440122	0.011600847	0.014414001	0.007091249	-0.034277309	0.00387375	0.014554745	0.013830929	0.003296306	-0.00263102	0.004607639	0.000429787	0.000106376	0	0	0	0	0	0
7DAG.SM	DAG	-0.093909893	0.051779886	-0.178104595	-0.122714082	-0.033937632	0.001098551	0.007185916	-0.01237348	-0.027716882	0.017728225	0.042857482	0.027123422	0.033730562	0.012479606	0.003287958	0.004775583	0.007943119	-0.010828161	-9.50E-05	-0.024950681	6.35E-05	0.00553737	0.009436856	-0.004155735	-0.00107853	-0.014268525	0.000971474	-0.001464665	-0.000106967	0.004121366	-0.003077814	-0.003236578	-0.000720184	0	0	0	0	0	0
8DN.AE	DN_AE	0.104508949	-0.071180793	0.048379617	-0.031457021	-0.010410104	-0.017768517	0.003467415	-0.020739817	-0.005463735	0.023310163	0.068521205	0.008953052	0.023588114	0.05622943	-0.007676868	-0.03681659	0.008102695	-0.008870051	0.001113834	-0.001043383	0.01591149	0.019356034	0.025617405	0.000588825	-0.005107243	0.015148714	-0.009770765	0.015596802	-0.015242222	-0.007928629	-0.00067543	0.003908237	0.00169911	0	0	0	0	0	0
8SM.DN	DN	0.152143758	0.028529923	-0.109249646	-0.039685018	-0.024603903	0.009923668	-0.046698845	-0.001237941	0.029337097	0.062650818	-0.070012852	-0.059611964	-0.029982555	-0.003849931	-0.004057664	-0.018175093	0.000527029	0.008255274	2.26E-02	0.024143304	1.24E-02	0.0011305	0.018545603	0.015983192	0.009235039	0.002212781	0.006009885	0.016966901	0.004997566	0.005075639	0.005194906	-0.003626068	0.001404483	0	0	0	0	0	0
