	13i	13DAG.SM	20DAG.AE	26DAG.AN	2i	2DN.AE	34DAG.AE	39DAG.AE	39DAG.SM	49DAG.AN	59DAG.SM	7DAG.AE	38DN.AE	46DAG.AN	48DN.AN	8DN.AE	21DN.AE	33DN.AE	45DN.AE	7DAG.SM	27DAG.AE	2SM.DN	26DAG.SM	27DAG.SM	33i	3DAG.AN	48SM.DN	50DN.AN	50i	51DN.AN	54DAG.AN	59DAG.AN	59i	8SM.DN	51SM.DN	10DAG.AE	31i	33SM.DN	50SM.DN
59DAG.SM	0.35958118966	0.257796531729	0.314917776457	0.202454120867	0.351166111284	0.377219475914	0.297486519538	0.305395816347	0.287745371274	0.20687026937	0.0	0.263405318491	0.330028613336	0.235988240277	0.363884836716	0.380795204193	0.344374885372	0.367801520727	0.35375108024	0.293709543216	0.273432111888	0.3707732221	0.294361112567	0.355757840048	0.362444588773	0.225716668656	0.353280578574	0.395208628488	0.365139009073	0.369749730044	0.262420293802	0.23016984588	0.415692062129	0.383377877523	0.346698745796	0.323491887134	0.354449801349	0.377374357841	0.367113829447
7DAG.AE	0.325707614367	0.22339596399	0.255211794925	0.233400334315	0.35043123079	0.343398187185	0.239902737099	0.205651301684	0.20180818386	0.273131386838	0.263405318491	0.0	0.318651872032	0.281316912271	0.339425983465	0.325017161044	0.315562174704	0.364415216229	0.32799050129	0.290815691953	0.234232485985	0.344750709599	0.239471207757	0.280653474813	0.365708816843	0.221580062836	0.329669746648	0.387140108415	0.377689969818	0.353666975831	0.230850725281	0.282065013758	0.396008882463	0.388794120599	0.339014983913	0.257565079774	0.339891181655	0.364491832728	0.339823073582
38DN.AE	0.224815351601	0.321978508804	0.369814272509	0.307086853186	0.211344450836	0.142487073572	0.366641830313	0.35994438783	0.332543581172	0.344691764099	0.330028613336	0.318651872032	0.0	0.366540986546	0.122824630935	0.15883498146	0.158227378666	0.138872814999	0.0933269684905	0.346235211806	0.353203751513	0.163515796857	0.341068288859	0.386661033215	0.184592512802	0.314131563372	0.1655478189	0.170307631315	0.191242877582	0.144500648217	0.326780006032	0.364908892157	0.246526156425	0.228883244843	0.145584888075	0.371876141409	0.165923226252	0.164950832829	0.150603843328
46DAG.AN	0.394794432308	0.287353053021	0.294965658015	0.205454984809	0.391543276779	0.405569890738	0.261388118543	0.282317408521	0.266414167487	0.179325432978	0.235988240277	0.281316912271	0.366540986546	0.0	0.392241979365	0.380775412546	0.385828150692	0.411539579288	0.384597272683	0.328415331746	0.253734088975	0.404265165918	0.267454470396	0.328460073549	0.403465799636	0.178427309102	0.373755852195	0.423050339991	0.411975753574	0.400767271601	0.251081779632	0.214880935435	0.431239129144	0.440779050577	0.368226278298	0.256740032924	0.385151448146	0.387064577072	0.377103737566
48DN.AN	0.234293197378	0.337839539137	0.382696284179	0.349374021207	0.210584854772	0.12705265018	0.39154916074	0.364168856684	0.361681288118	0.378873451093	0.363884836716	0.339425983465	0.122824630935	0.392241979365	0.0	0.168643677167	0.187007245045	0.12879791718	0.139483267555	0.365160062483	0.378808310738	0.15042959346	0.35451621548	0.38834893862	0.166975529591	0.361639151476	0.15913927429	0.151096788088	0.191243326936	0.115741874741	0.34879354081	0.395433310733	0.227738546351	0.23348330182	0.141382898829	0.375756130417	0.12341148401	0.143090247536	0.127738138354
8DN.AE	0.251738347559	0.309871955059	0.338923414168	0.339875450134	0.250731499982	0.159270581224	0.360573886482	0.353637998376	0.336579924324	0.371571047784	0.380795204193	0.325017161044	0.15883498146	0.380775412546	0.168643677167	0.0	0.195186774228	0.172167817805	0.148392831312	0.348310749517	0.357708503061	0.179745097773	0.332363090522	0.366633507423	0.199428460313	0.357596665595	0.174374766364	0.215052569477	0.250043984922	0.18790817672	0.342888000651	0.389505700483	0.2884135884	0.278135118754	0.18061193715	0.350954387854	0.193648651124	0.191764351488	0.185690039964
21DN.AE	0.278466189224	0.325584853913	0.373776833467	0.331816634129	0.252740216692	0.160375685284	0.353277027819	0.339037993205	0.331192939937	0.357959614328	0.344374885372	0.315562174704	0.158227378666	0.385828150692	0.187007245045	0.195186774228	0.0	0.177165997771	0.169173201692	0.352581571633	0.374618993265	0.188481790003	0.342996070066	0.390272453313	0.220325126612	0.342892616197	0.207224117613	0.202265339508	0.242120662058	0.178199274034	0.331487081104	0.366877615069	0.281667613008	0.252002725189	0.201545019945	0.367877849444	0.198445455935	0.204422421306	0.191749252536
33DN.AE	0.26639519025	0.364364343704	0.402167395641	0.37145828459	0.235139636762	0.156678036444	0.392406446198	0.38966666543	0.372142790662	0.388770125798	0.367801520727	0.364415216229	0.138872814999	0.411539579288	0.12879791718	0.172167817805	0.177165997771	0.0	0.146123238398	0.373510414221	0.38899374614	0.178962411527	0.385395618644	0.410609915391	0.182067626066	0.38036142186	0.179243899797	0.182742612425	0.211044077595	0.15236177823	0.379715703295	0.413356101564	0.258140389546	0.235213500388	0.167328861537	0.394450312944	0.165816216323	0.174165227179	0.150919896006
45DN.AE	0.238583196644	0.344372491867	0.37688768735	0.323494263453	0.2195791667	0.145522403808	0.352801840409	0.356160723452	0.3525248604	0.363493872346	0.35375108024	0.32799050129	0.0933269684905	0.384597272683	0.139483267555	0.148392831312	0.169173201692	0.146123238398	0.0	0.365474452436	0.366775670857	0.180193538804	0.33730110976	0.369186444395	0.193256051078	0.346234549561	0.181939912592	0.190602069883	0.215430416772	0.160611369638	0.334572291932	0.381415325851	0.260661560233	0.231756820897	0.161844515329	0.367207709237	0.172729671133	0.188699994965	0.168670456375
7DAG.SM	0.378171125264	0.251853986476	0.331167350661	0.281235443821	0.373705575006	0.375791791032	0.326026576656	0.308184146741	0.288783958237	0.316857428219	0.293709543216	0.290815691953	0.346235211806	0.328415331746	0.365160062483	0.348310749517	0.352581571633	0.373510414221	0.365474452436	0.0	0.319529052053	0.351894281339	0.318076716101	0.3497939252	0.365052484598	0.291808696425	0.35013729756	0.344771699159	0.387542374175	0.370348205555	0.302723763522	0.304049862043	0.342360160289	0.330672862564	0.345665861968	0.335137350411	0.37195852943	0.380305371443	0.351361509034
