	13i	13DAG.SM	20DAG.AE	26DAG.AN	2i	2DN.AE	34DAG.AE	39DAG.AE	39DAG.SM	49DAG.AN	59DAG.SM	7DAG.AE	38DN.AE	46DAG.AN	48DN.AN	8DN.AE	21DN.AE	33DN.AE	45DN.AE	7DAG.SM	27DAG.AE	2SM.DN	26DAG.SM	27DAG.SM	33i	3DAG.AN	48SM.DN	50DN.AN	50i	51DN.AN	54DAG.AN	59DAG.AN	59i	8SM.DN	51SM.DN	10DAG.AE	31i	33SM.DN	50SM.DN
33DN.AE	0.191054324497	0.332665925013	0.38649993093	0.369007767083	0.167746391964	0.273353111458	0.370163697846	0.354930562952	0.365231437222	0.356305526445	0.390105152713	0.388402624158	0.327726983035	0.366949785043	0.216512140683	0.337767747845	0.308419625701	0.0	0.344686560651	0.339754520212	0.404538475954	0.184042787354	0.377243384618	0.401549684149	0.163893413809	0.401252375546	0.239063733906	0.220582025201	0.178905183169	0.236457804448	0.353006513078	0.380631839482	0.175358046898	0.188598318756	0.332466402371	0.402619827464	0.121126452876	0.231403494735	0.281033451866
45DN.AE	0.325655627546	0.274092497914	0.300621154532	0.206736006266	0.329409386119	0.245613733458	0.226349216159	0.307456067517	0.315003643033	0.266359179615	0.174374143255	0.301530634547	0.0305229689211	0.230945361803	0.229969676212	0.318935118429	0.301725760858	0.344686560651	0.0	0.250302372558	0.301344834643	0.314018286264	0.273405053717	0.311785134931	0.346092093493	0.252625295639	0.212093592476	0.265358750847	0.412793404879	0.268755235548	0.277644999834	0.223022034624	0.401270201671	0.319684110767	0.245966100074	0.356615795589	0.344545413204	0.246254347246	0.231610206175
7DAG.SM	0.315644748669	0.118170368883	0.136769601354	0.205321992372	0.339633665413	0.226091606495	0.180138053108	0.176852553879	0.179302430677	0.256317530885	0.187767823594	0.150074725153	0.250954100483	0.275869326875	0.228944283219	0.292370769188	0.26317761312	0.339754520212	0.250302372558	0.0	0.220572076893	0.293766800998	0.108903358642	0.154242139403	0.302304056201	0.15406223456	0.204530720298	0.26350941995	0.395748313017	0.211412997478	0.0971566862981	0.264144207935	0.385661822219	0.396194155007	0.261652161167	0.217907334258	0.337745668618	0.360762466006	0.206731600965
27DAG.AE	0.384893682756	0.280475379798	0.243980946816	0.271779118006	0.40426602958	0.283793534641	0.275325009063	0.236526410077	0.296832987794	0.305707393622	0.223648362704	0.176824104418	0.306278959116	0.322101255734	0.296065775695	0.409349555324	0.191993496828	0.404538475954	0.301344834643	0.220572076893	0.0	0.38719103361	0.236830343919	0.295943274202	0.397482465523	0.266606642363	0.301446126577	0.289307481149	0.447356197492	0.339359269978	0.215598185086	0.343129505539	0.450055191535	0.445489263132	0.281963390515	0.358527186501	0.417998163572	0.424698627109	0.24277773178
2SM.DN	0.218128608973	0.282502402996	0.342360613401	0.331232995581	0.227151383713	0.263041650418	0.316692893696	0.334306256955	0.28957250416	0.31894090898	0.367188566747	0.363589029661	0.299501619371	0.318347359117	0.182885631228	0.231894528055	0.305252416586	0.184042787354	0.314018286264	0.293766800998	0.38719103361	0.0	0.325806349707	0.336438518901	0.110810721005	0.349354346936	0.198176158745	0.21884982869	0.186683496926	0.214350485055	0.302532271572	0.321935291178	0.179063710657	0.255076928521	0.28508845948	0.354463621613	0.207071816405	0.162280611212	0.269657220706
26DAG.SM	0.325360407193	0.128397700385	0.0960380208607	0.216244376814	0.358879008693	0.268251823023	0.228431278057	0.242259037115	0.187358306079	0.278550282003	0.190369568468	0.177729303977	0.280288123286	0.317575687538	0.257898908401	0.309669568414	0.269387363438	0.377243384618	0.273405053717	0.108903358642	0.236830343919	0.325806349707	0.0	0.12575269789	0.34834433247	0.165704934537	0.228553361476	0.262677154146	0.420450326951	0.241735057307	0.129755033526	0.327841226006	0.407820920003	0.421134225473	0.254041102264	0.224937405175	0.359835609398	0.396787197288	0.209337815697
27DAG.SM	0.354663466161	0.166469678612	0.11899764161	0.249702071913	0.387818143061	0.323371385851	0.213497087819	0.272675947108	0.189608889343	0.301070100895	0.24795328178	0.224365373559	0.309364865171	0.33068159244	0.270637302187	0.290708513414	0.327975626592	0.401549684149	0.311785134931	0.154242139403	0.295943274202	0.336438518901	0.12575269789	0.0	0.366718565083	0.162545391046	0.252355991595	0.329826204484	0.448354017912	0.257734275414	0.154144313826	0.343418834211	0.430265321709	0.447390523813	0.324874088106	0.205427180669	0.385643465761	0.410505244093	0.284626736205
33i	0.227186204815	0.29725736451	0.35915179321	0.354891654229	0.255453418432	0.281106955584	0.341894930515	0.339726175184	0.307252626922	0.344236293654	0.380420322307	0.363924707372	0.330486323509	0.333255768429	0.220254116701	0.264378703388	0.326633289612	0.163893413809	0.346092093493	0.302304056201	0.397482465523	0.110810721005	0.34834433247	0.366718565083	0.0	0.370407125126	0.216928137767	0.224216279935	0.202222419925	0.230531447657	0.317678902123	0.328572157717	0.195932737719	0.282191534582	0.310851371396	0.362671540218	0.187248243326	0.192339266587	0.275999939719
3DAG.AN	0.369225913594	0.192692501817	0.15732746481	0.16741761141	0.395558693905	0.293633434765	0.183074726628	0.237939652629	0.19171108911	0.216723094174	0.182988473872	0.213210653014	0.261299503926	0.259523749575	0.259465314312	0.256837039155	0.325602507765	0.401252375546	0.252625295639	0.15406223456	0.266606642363	0.349354346936	0.165704934537	0.162545391046	0.370407125126	0.0	0.250783939883	0.320784390673	0.461601713859	0.258694112287	0.133419020583	0.274557573916	0.45131389234	0.421522381791	0.306243205098	0.160093823289	0.38197914362	0.398093630561	0.268677653948
48SM.DN	0.245392601867	0.193267391232	0.242681341899	0.223536408141	0.255486132092	0.203346294756	0.250208887666	0.254537319477	0.231725134915	0.246253096566	0.257348955761	0.266115289092	0.202685484893	0.283488809619	0.183104750086	0.23788948838	0.278974256591	0.239063733906	0.212093592476	0.204530720298	0.301446126577	0.198176158745	0.228553361476	0.252355991595	0.216928137767	0.250783939883	0.0	0.215933438503	0.302147040773	0.133070488716	0.217029529995	0.290154901671	0.281247246582	0.304354007959	0.17613542156	0.279405109417	0.250895887045	0.24070430366	0.134596892056
